alma_id,nome,motivo
pullover-na-polia,Pullover na polia,C_REVISAR
remada-na-maquina,Remada na máquina,C_REVISAR
pullover-na-maquina,Pullover na máquina,D_ORFAO
agachamento-bulgaro,Agachamento búlgáro,C_REVISAR
stiff-com-halteres,Stiff com halteres,C_REVISAR
remada-alta-com-barra-estreita,Remada alta com barra estreita,C_REVISAR
desenvolvimento-unilateral,Desenvolvimento unilateral,C_REVISAR
rotacao-interna-com-cabo,Rotação interna com cabo,D_ORFAO
elevacao-lateral-inclinada,Elevação lateral inclinada,C_REVISAR
rosca-21,Rosca 21,D_ORFAO
rosca-com-elastico,Rosca com elástico,D_ORFAO
paralelas-foco-triceps,Paralelas foco tríceps,C_REVISAR
abdominal-remador,Abdominal remador,C_REVISAR
tocada-no-calcanhar,Tocada no calcanhar,D_ORFAO
prancha-com-elevacao-de-braco,Prancha com elevação de braço,D_ORFAO
abducao-no-cabo,Abdução no cabo,C_REVISAR
stiff-unilateral,Stiff unilateral,C_REVISAR
elevacao-de-perna-no-solo,Elevação de perna no solo,C_REVISAR
caminhada-em-esteira,Caminhada em esteira,C_REVISAR
corrida-estacionaria,Corrida estacionária,C_REVISAR
thruster-com-kettlebell,Thruster com kettlebell,C_REVISAR
clean-com-kettlebell,Clean com kettlebell,C_REVISAR
mobilidade-de-tornozelo-circulos,Mobilidade de tornozelo (círculos),D_ORFAO
mobilidade-de-ombro-rotacao,Mobilidade de ombro (rotação),D_ORFAO
arm-circles,Arm circles,D_ORFAO
leg-swings-frente-e-tras,Leg swings (frente e trás),D_ORFAO
leg-swings-laterais,Leg swings laterais,D_ORFAO
mobilidade-toracica-com-rolo,Mobilidade torácica com rolo,D_ORFAO
world-s-greatest-stretch,World's greatest stretch,D_ORFAO
abertura-lateral-lateral-lunge-com-pausa,Abertura lateral (lateral lunge com pausa),C_REVISAR
respiracao-diafragmatica,Respiração diafragmática,D_ORFAO
hundred-pilates,Hundred (Pilates),D_ORFAO
roll-up-pilates,Roll-up (Pilates),D_ORFAO
single-leg-stretch-pilates,Single leg stretch (Pilates),D_ORFAO
double-leg-stretch-pilates,Double leg stretch (Pilates),D_ORFAO
swan-pilates,Swan (Pilates),D_ORFAO
side-kick-pilates,Side kick (Pilates),C_REVISAR
teaser-pilates,Teaser (Pilates),D_ORFAO
saudacao-ao-sol-yoga,Saudação ao sol (Yoga),D_ORFAO
respiracao-ujjayi-yoga,Respiração ujjayi (Yoga),D_ORFAO
corrida-de-escada-stair-run,Corrida de escada (stair run),C_REVISAR
shuttle-run-ida-e-volta-20m,Shuttle run (ida e volta 20m),D_ORFAO
power-clean-barra,Power clean (barra),C_REVISAR
snatch-com-kettlebell,Snatch com kettlebell,C_REVISAR
bear-plank-shoulder-tap,Bear plank shoulder tap,D_ORFAO
salto-lateral-sobre-cone,Salto lateral sobre cone,D_ORFAO
push-up-to-mountain-climber,Push-up to mountain climber,D_ORFAO
plank-jack,Plank jack,D_ORFAO
lateral-shuffle-20m,Lateral shuffle (20m),D_ORFAO
desenvolvimento-com-elastico,Desenvolvimento com elástico,C_REVISAR
remada-com-elastico,Remada com elástico,C_REVISAR
abducao-de-quadril-com-elastico,Abdução de quadril com elástico,C_REVISAR
kickback-com-elastico,Kickback com elástico,C_REVISAR
triceps-com-elastico-overhead,Tríceps com elástico (overhead),C_REVISAR
rosca-biceps-com-elastico,Rosca bíceps com elástico,C_REVISAR
elevacao-lateral-com-elastico,Elevação lateral com elástico,C_REVISAR
chest-press-com-elastico,Chest press com elástico,C_REVISAR
agachamento-com-chute-com-elastico,Agachamento com chute com elástico,D_ORFAO
corrida-resistida-com-elastico,Corrida resistida com elástico,C_REVISAR
rosca-de-punho-reversa-palma-para-baixo,Rosca de punho reversa (palma para baixo),C_REVISAR
farmer-hold-isometria-de-pegada,Farmer hold (isometria de pegada),C_REVISAR
dead-hang-ativo,Dead hang ativo,C_REVISAR
towel-pull-up,Towel pull-up,C_REVISAR
rice-bucket-balde-de-arroz,Rice bucket (balde de arroz),D_ORFAO
squeeze-de-bola-isometria,Squeeze de bola (isometria),D_ORFAO
leg-press-com-pes-baixos,Leg press com pés baixos,C_REVISAR
passada-com-kettlebell,Passada com kettlebell,C_REVISAR
panturrilha-em-leg-press,Panturrilha em leg press,C_REVISAR
fire-hydrant-hidrante,Fire hydrant (hidrante),C_REVISAR
hip-thrust-com-barra-pe-de-sumo,Hip thrust com barra — pé de sumo,C_REVISAR
step-up-com-halteres-e-joelho-elevado,Step up com halteres e joelho elevado,C_REVISAR
frog-pump,Frog pump,C_REVISAR
afundo-lateral-com-salto,Afundo lateral com salto,C_REVISAR
puxada-com-elastico,Puxada com elástico,C_REVISAR
remada-inclinada-com-anilha,Remada inclinada com anilha,C_REVISAR
deficit-pull-up,Deficit pull-up,C_REVISAR
supino-com-anilha-grip-diferente,Supino com anilha (grip diferente),C_REVISAR
bench-dip-com-peso,Bench dip com peso,C_REVISAR
supino-com-barra-hex-trap-bar,Supino com barra hex (trap bar),C_REVISAR
rotacao-de-manguito-com-haltere,Rotação de manguito com haltere,C_REVISAR
hip-thrust-no-banco-com-peso-corporal,Hip thrust no banco com peso corporal,C_REVISAR
seated-incline-lateral-raise,Seated incline lateral raise,C_REVISAR
single-leg-hip-thrust-no-banco,Single leg hip thrust no banco,C_REVISAR
around-the-world-com-anilha,Around the world com anilha,D_ORFAO
hack-squat-com-anilha,Hack squat com anilha,C_REVISAR
swing-com-anilha,Swing com anilha,C_REVISAR
landmine-rotacao-com-anilha,Landmine rotação com anilha,D_ORFAO
agachamento-com-anilha-overhead,Agachamento com anilha overhead,C_REVISAR
halo-com-anilha,Halo com anilha,C_REVISAR
deadlift-com-anilha-unilateral,Deadlift com anilha (unilateral),C_REVISAR
abdominal-3-4,Abdominal 3/4,C_REVISAR
alongamento-de-isquiotibiais-90-90,Alongamento de Isquiotibiais 90/90,D_ORFAO
liberacao-miofascial-de-adutor,Liberação Miofascial de Adutor,D_ORFAO
alongamento-de-adutores-assistido,Alongamento de Adutores Assistido,C_REVISAR
alongamento-de-quadriceps-de-quatro-apoios,Alongamento de Quadríceps de Quatro Apoios,C_REVISAR
toque-no-calcanhar-alternado,Toque no Calcanhar Alternado,D_ORFAO
salto-diagonal-alternado-com-uma-perna,Salto Diagonal Alternado com Uma Perna,D_ORFAO
desenvolvimento-alternado-na-polia,Desenvolvimento Alternado na Polia,D_ORFAO
elevacao-frontal-e-lateral-alternada,Elevação Frontal e Lateral Alternada,D_ORFAO
supino-no-chao-alternado,Supino no Chão Alternado,C_REVISAR
hang-clean-alternado,Hang Clean Alternado,C_REVISAR
remada-renegada-alternada,Remada Renegada Alternada,D_ORFAO
rotacao-de-tornozelo,Rotação de Tornozelo,D_ORFAO
