score,id,namePTBR,nameEN,equipment,candidato_base,arquivos,veredito,quem,quando
1.0,panturrilha-unilateral-com-halter,Panturrilha Unilateral com Halter,Calf Raise On A Dumbbell,Halteres,dumbbell-calf-raise,dumbbell-calf-raise-peak.webp + dumbbell-calf-raise-start.webp,,,
0.83,rosca-direta-barra-w-pegada-fechada-com-elastico,Rosca Direta Barra W Pegada Fechada com Elástico,Close-Grip EZ-Bar Curl with Band,Barra,close-grip-ez-bar-curl,close-grip-ez-bar-curl-peak.webp + close-grip-ez-bar-curl-start.webp,,,
0.8,tibial-anterior-no-smith-panturrilha-inversa,Tibial anterior no Smith (panturrilha inversa),Smith Machine Reverse Calf Raises,Máquina,smith-machine-calf-raise,smith-machine-calf-raise-peak.webp + smith-machine-calf-raise-start.webp,,,
0.75,panturrilha-sentado-com-barra,Panturrilha Sentado com Barra,Barbell Seated Calf Raise,Barra,barbell-calf-raise,barbell-calf-raise-peak.webp + barbell-calf-raise-start.webp,,,
0.75,crucifixo-inverso-na-polia,Crucifixo Inverso na Polia,Cable Rear Delt Fly,Cabo/Polia,rear-delt-fly,rear-delt-fly-peak.webp + rear-delt-fly-start.webp,,,
0.75,elevacao-frontal-inclinada-com-halteres,Elevação Frontal Inclinada com Halteres,Front Incline Dumbbell Raise,Halteres,dumbbell-front-raise,dumbbell-front-raise-peak.webp + dumbbell-front-raise-start.webp,,,
0.75,supino-inclinado-na-polia,Supino Inclinado na Polia,Incline Cable Chest Press,Cabo/Polia,cable-chest-press,cable-chest-press-peak.webp + cable-chest-press-start.webp,,,
0.75,remada-t-bar-apoiado-no-banco,Remada T-bar apoiado no banco,Lying T-Bar Row,Máquina,t-bar-row,t-bar-row-peak.webp + t-bar-row-start.webp,,,
0.75,rosca-scott-inversa,Rosca scott inversa,Reverse Barbell Preacher Curls,Barra,barbell-preacher-curl,barbell-preacher-curl-peak.webp + barbell-preacher-curl-start.webp,,,
0.75,agachamento-pistol-no-smith,Agachamento pistol no Smith,Smith Machine Pistol Squat,Máquina,smith-machine-squat,smith-machine-squat-peak.webp + smith-machine-squat-start.webp,,,
0.67,elevacao-lateral-com-elastico,Elevação lateral com elástico,Lateral Raise - With Bands,Elástico,lateral-raise,lateral-raise-peak.webp + lateral-raise-start.webp,,,
0.67,hang-clean-alternado,Hang Clean Alternado,Alternating Hang Clean,Kettlebell,hang-clean,hang-clean-peak.webp + hang-clean-start.webp,,,
0.67,triceps-testa-com-elastico,Tríceps Testa com Elástico,Band Skull Crusher,Elástico,skull-crusher,skull-crusher-peak.webp + skull-crusher-start.webp,,,
0.67,hack-squat-com-barra,Hack Squat com Barra,Barbell Hack Squat,Barra,hack-squat,hack-squat-peak.webp + hack-squat-start.webp,,,
0.67,step-up-com-barra,Step Up com Barra,Barbell Step Ups,Barra,step-ups,step-ups-peak.webp + step-ups-start.webp,,,
0.67,passada-com-barra,Passada com Barra,Barbell Walking Lunge,Barra,walking-lunge,walking-lunge-peak.webp + walking-lunge-start.webp,,,
0.67,supino-com-elastico,Supino com Elástico,Bench Press - With Bands,Elástico,bench-press,bench-press-peak.webp + bench-press-start.webp,,,
0.67,supino-com-correntes,Supino com Correntes,Bench Press with Chains,Barra,bench-press,bench-press-peak.webp + bench-press-start.webp,,,
0.67,aducao-de-quadril-na-polia,Adução de Quadril na Polia,Cable Hip Adduction,Cabo/Polia,hip-adduction,hip-adduction-peak.webp + hip-adduction-start.webp,,,
0.67,rosca-scott-na-polia,Rosca Scott na Polia,Cable Preacher Curl,Cabo/Polia,cable-curl,cable-curl-peak.webp + cable-curl-start.webp,,,
0.67,abdominal-inverso-na-polia,Abdominal Inverso na Polia,Cable Reverse Crunch,Cabo/Polia,cable-crunch,cable-crunch-peak.webp + cable-crunch-start.webp,,,
0.67,flexao-relogio,Flexão Relógio,Clock Push-Up,Peso corporal,push-up,push-up-peak.webp + push-up-start.webp,,,
0.67,afundo-cruzado-invertido,Afundo Cruzado Invertido,Crossover Reverse Lunge,Peso corporal,reverse-lunge,reverse-lunge-peak.webp + reverse-lunge-start.webp,,,
0.67,abdominal-obliquo-declinado,Abdominal Oblíquo Declinado,Decline Oblique Crunch,Peso corporal,decline-crunch,decline-crunch-peak.webp + decline-crunch-start.webp,,,
0.67,abdominal-inverso-declinado,Abdominal Inverso Declinado,Decline Reverse Crunch,Peso corporal,decline-crunch,decline-crunch-peak.webp + decline-crunch-start.webp,,,
0.67,desenvolvimento-unilateral-com-halteres,Desenvolvimento Unilateral com Halteres,Dumbbell One-Arm Shoulder Press,Halteres,one-arm-dumbbell-push-press,one-arm-dumbbell-push-press-peak.webp + one-arm-dumbbell-push-press-start.webp,,,
0.67,agachamento-no-banco-com-halteres,Agachamento no banco com halteres,Dumbbell Squat To A Bench,Halteres,db-squat,db-squat-peak.webp + db-squat-start.webp,,,
0.67,step-up-com-halteres,Step up com halteres,Dumbbell Step Ups,Halteres,step-ups,step-ups-peak.webp + step-ups-start.webp,,,
0.67,rotacao-externa-com-halteres,Rotação Externa com Halteres,External Rotation,Halteres,cable-external-rotation,cable-external-rotation-peak.webp + cable-external-rotation-start.webp,,,
0.67,supino-no-chao-com-correntes,Supino no Chão com Correntes,Floor Press with Chains,Barra,floor-press,floor-press-peak.webp + floor-press-start.webp,,,
0.67,abdominal-borboleta,Abdominal Borboleta,Frog Sit-Ups,Peso corporal,sit-ups,sit-ups-peak.webp + sit-ups-start.webp,,,
0.67,rosca-alta-na-polia,Rosca Alta na Polia,High Cable Curls,Cabo/Polia,cable-curl,cable-curl-peak.webp + cable-curl-start.webp,,,
0.67,crucifixo-inclinado-na-polia,Crucifixo Inclinado na Polia,Incline Cable Flye,Cabo/Polia,cable-fly,cable-fly-peak.webp + cable-fly-start.webp,,,
0.67,desenvolvimento-arnold-com-kettlebell,Desenvolvimento Arnold com Kettlebell,Kettlebell Arnold Press,Kettlebell,arnold-press,arnold-press-peak.webp + arnold-press-start.webp,,,
0.67,clean-com-kettlebell-pendurado,Clean com Kettlebell Pendurado,Kettlebell Hang Clean,Kettlebell,hang-clean,hang-clean-peak.webp + hang-clean-start.webp,,,
0.67,agachamento-com-salto-ajoelhado,Agachamento com Salto Ajoelhado,Kneeling Jump Squat,Barra,jump-squat,jump-squat-peak.webp + jump-squat-start.webp,,,
0.67,box-jump-lateral,Box Jump Lateral,Lateral Box Jump,Peso corporal,box-jump,box-jump-peak.webp + box-jump-start.webp,,,
0.67,rosca-na-polia-deitado,Rosca na Polia Deitado,Lying Cable Curl,Cabo/Polia,cable-curl,cable-curl-peak.webp + cable-curl-start.webp,,,
0.67,supino-guilhotina,Supino guilhotina,Neck Press,Barra,behind-the-neck-press,behind-the-neck-press-peak.webp + behind-the-neck-press-start.webp,,,
0.67,para-press-unilateral-com-kettlebell,Para press unilateral com kettlebell,One-Arm Kettlebell Para Press,Kettlebell,one-arm-kettlebell-floor-press,one-arm-kettlebell-floor-press-peak.webp + one-arm-kettlebell-floor-press-start.webp,,,
0.67,rosca-crucifixo-na-polia-alta,Rosca crucifixo na polia alta,Overhead Cable Curl,Cabo/Polia,cable-curl,cable-curl-peak.webp + cable-curl-start.webp,,,
0.67,rack-pull-com-elasticos,Rack pull com elásticos,Rack Pull with Bands,Barra,rack-pull,rack-pull-peak.webp + rack-pull-start.webp,,,
0.67,rosca-inversa-na-polia,Rosca inversa na polia,Reverse Cable Curl,Cabo/Polia,cable-curl,cable-curl-peak.webp + cable-curl-start.webp,,,
0.67,rosca-inversa-com-anilha,Rosca inversa com anilha,Reverse Plate Curls,Peso corporal,reverse-curl,reverse-curl-peak.webp + reverse-curl-start.webp,,,
0.67,rosca-concentrada-com-barra-sentado,Rosca concentrada com barra sentado,Seated Close-Grip Concentration Barbell Curl,Barra,close-grip-barbell-curl,close-grip-barbell-curl-peak.webp + close-grip-barbell-curl-start.webp,,,
